omega,alpha,beta
0.2693013356414712,0.2266158877516888,0.5155210412113591
0.285770202870811,0.22896495513256285,0.49892100224698893
0.29122070217504503,0.23061686211665164,0.5075326813786456
0.2944240172823125,0.20489987142576419,0.5025376225431607
0.3139065095071499,0.2084915965587648,0.48192513292495065
0.2922165333923041,0.20707836835918225,0.4946158341626076
0.28305996833266145,0.23937263406797055,0.49914970920751445
0.2764098437267907,0.2754710151836898,0.4820269348778252
0.26848631619514474,0.26643896836818265,0.4888272810001948
0.28003198195869733,0.2632164588635252,0.47602388677404694
0.2995084956975514,0.2645912794058653,0.45551873855064734
0.3086641684864138,0.25315227510842586,0.47975308363315056
0.3022431831280043,0.2008528444863367,0.4801242370303282
0.3029078860084411,0.2018528453137367,0.4816459090555386
0.3060708177111027,0.20733823028103848,0.4839000299178152
0.3246423442462858,0.21222330461222508,0.4887761255855498
0.29902270450815566,0.21523277620185488,0.48227444109353695
0.30403954894729224,0.2206518938722525,0.4980995501160827
0.31992549994837777,0.1981043619718352,0.48307828144373977
0.32384531733258054,0.19742118965475808,0.48481448707249436
0.31194606269266645,0.20911719429028178,0.48139397737406114
0.2988974348308116,0.20016358059268746,0.49207623113414123
0.31612229362367716,0.1969821237928528,0.4836799169107794
0.3260400859421131,0.20811747813851478,0.47365764225062396
0.3095023207917351,0.22267351768652646,0.48501985677364196
0.3212035649812181,0.2043911695650263,0.47627842730763364
0.3182887722193197,0.21683892204042993,0.4648724312417868
0.298571413591836,0.23472097298905323,0.46505044406870805
0.30228457491785216,0.24094208657184155,0.47819584086884703
0.2956800997584386,0.23350753317989384,0.46959057839411134
0.2937549371687157,0.22544617090842317,0.47663040737640694
0.30992444561750987,0.22055469776289027,0.4907082942186492
0.33214492293379794,0.20620511792639096,0.47595114652725734
0.3206826033321562,0.2075093107811317,0.48746303756126985
0.2888042208682484,0.20692239881086785,0.4979401740232402
0.30165456549434844,0.1945494885962713,0.5044772099239924
0.3056171667760332,0.18780262956927105,0.5085897167462485
0.3114811576166285,0.19871397302513738,0.4976998493348784
0.3180176370926343,0.20244356446543935,0.5017317399887469
0.3144584086950988,0.19837214666415817,0.485598439157664
0.30112428908155886,0.22081570571812825,0.4776887239089951
0.3038086289485353,0.2274120584245401,0.4856901467020718
0.3110838565285035,0.2214171154058279,0.47060434327373263
0.29439983737131986,0.24193438939313042,0.46901268823428327
0.2991311525481712,0.254513119656038,0.47161828685325535
0.26872924202067583,0.24834749068691633,0.4863867342373641
0.2911879971550351,0.25898277843816564,0.4764283612360089
0.2881688915117837,0.24516969570707436,0.47241675949449025
0.297576717665918,0.2534901812728652,0.4694696429778686
0.29578008702089653,0.2497615220817991,0.4792926007891533
0.2918409111349227,0.24883176261647302,0.49289001013538153
0.29144076949815195,0.2496767464352956,0.4835541489135478
0.3085458250578893,0.22318095123581486,0.48100140004752845
0.3333454419972324,0.21521540535734948,0.4729422651713488
0.3354295597266254,0.22170405382165856,0.4533267657631156
0.32932178286447644,0.23108282232100502,0.4391642984216942
0.3535850118884698,0.21283011163934737,0.44545275666288964
0.37225422390457585,0.21455768951868529,0.44337776896309644
0.35698413821544606,0.21859968582516068,0.4511189613417739
0.3661605670220424,0.1975378969101959,0.44434263746344954
0.3554634790336006,0.2357679424939118,0.4468752167487546
0.3530991346968018,0.2300995905988599,0.4535072254667359
0.3545917192625361,0.2378334973288977,0.4497506451972685
0.34522093794987013,0.227911277355229,0.46156668368500336
0.36004203514952765,0.2141996184419034,0.4395692164694762
0.3484381243284463,0.2097638923063509,0.4415452054453129
0.34904839485461875,0.22869964422756778,0.44170503261377203
0.3451509949727435,0.22277486827611556,0.4446705673370379
0.33772045649589216,0.22784040385800078,0.4536881955833755
0.32667668193181054,0.23221294711314402,0.46290005714505666
0.31510829001383023,0.22879323464471557,0.47306696835906664
0.31150054161885354,0.24290758913701666,0.45397913674306767
0.3270773450327943,0.22439182849468273,0.4614525624131307
